,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-91-6830-01A,0.013,0.006,0.012,0.003,0.011,0.001,0.548,0.005,0.085,0.134,0.038,0.124,0.008,0.003,0.009,0.0,LUAD,0.6472,0.29,0.6814,0.775,0.5314,
TCGA-49-6745-01A,0.0,0.001,0.025,0.019,0.006,0.0,0.561,0.039,0.068,0.123,0.013,0.142,0.004,0.0,0.0,0.0,LUAD,0.6068,0.37,0.6144,0.75,0.5477,
TCGA-86-A4P7-01A,0.045,0.013,0.012,0.009,0.02,0.001,0.458,0.02,0.133,0.068,0.032,0.177,0.008,0.001,0.003,0.001,LUAD,0.6282,,0.5744,0.65,0.5201,
TCGA-44-4112-01B,0.032,0.016,0.011,0.025,0.006,0.023,0.442,0.019,0.172,0.131,0.032,0.054,0.011,0.0,0.021,0.002,LUAD,,,0.5688,0.675,0.6597,
TCGA-55-6975-01A,0.031,0.001,0.009,0.0,0.003,0.0,0.515,0.007,0.089,0.26,0.037,0.039,0.004,0.0,0.003,0.001,LUAD,0.7126,0.46,0.6275,0.65,0.5991,
TCGA-95-7039-01A,0.005,0.0,0.006,0.007,0.009,0.0,0.705,0.01,0.083,0.086,0.025,0.06,0.002,0.0,0.0,0.0,LUAD,0.7957,0.41,0.6894,0.75,0.7014,
TCGA-44-6147-01B,0.044,0.067,0.015,0.013,0.032,0.04,0.283,0.013,0.23,0.138,0.054,0.043,0.008,0.0,0.021,0.0,LUAD,,,0.4984,0.725,0.4452,
TCGA-05-4432-01A,0.053,0.009,0.023,0.007,0.008,0.0,0.654,0.004,0.031,0.071,0.033,0.104,0.002,0.001,0.0,0.0,LUAD,0.7616,0.43,,0.75,0.6573,
TCGA-49-4487-01A,0.035,0.06,0.032,0.014,0.024,0.0,0.532,0.019,0.033,0.146,0.014,0.088,0.001,0.0,0.0,0.001,LUAD,0.5913,0.22,0.4856,0.675,0.4429,
TCGA-55-7727-01A,0.017,0.048,0.025,0.014,0.001,0.001,0.719,0.014,0.048,0.04,0.004,0.066,0.003,0.0,0.0,0.0,LUAD,0.7681,0.38,0.6605,0.65,0.6357,
TCGA-73-A9RS-01A,0.034,0.0,0.004,0.008,0.002,0.0,0.838,0.001,0.007,0.027,0.017,0.061,0.001,0.0,0.0,0.0,LUAD,0.9075,,,0.8,0.7488,
TCGA-44-5644-01A,0.023,0.0,0.006,0.001,0.006,0.0,0.875,0.0,0.02,0.034,0.016,0.015,0.001,0.0,0.0,0.0,LUAD,0.942,0.77,0.7009,0.8,0.8198,
TCGA-55-7914-01A,0.058,0.01,0.02,0.014,0.003,0.001,0.685,0.004,0.036,0.103,0.01,0.049,0.005,0.0,0.001,0.0,LUAD,0.7673,0.56,0.5931,0.6,0.6939,
TCGA-62-A46R-01A,0.02,0.006,0.023,0.004,0.012,0.001,0.682,0.042,0.024,0.045,0.015,0.113,0.012,0.0,0.001,0.0,LUAD,0.7192,,0.6143,0.6,0.6292,
TCGA-49-AARQ-01A,0.005,0.0,0.001,0.038,0.0,0.0,0.856,0.021,0.003,0.003,0.004,0.067,0.0,0.0,0.0,0.0,LUAD,0.8616,,,0.8,0.8225,
TCGA-75-6207-01A,0.005,0.002,0.007,0.001,0.01,0.0,0.805,0.001,0.037,0.032,0.01,0.086,0.001,0.0,0.0,0.0,LUAD,0.8547,0.72,0.7851,0.825,0.7977,
TCGA-53-7813-01A,0.105,0.002,0.01,0.014,0.001,0.001,0.82,0.005,0.007,0.015,0.015,0.0,0.001,0.0,0.005,0.0,LUAD,0.872,0.36,0.5164,0.585,0.5043,
TCGA-44-3918-01B,0.031,0.019,0.024,0.077,0.01,0.003,0.382,0.013,0.157,0.092,0.013,0.129,0.012,0.001,0.034,0.002,LUAD,,,0.5882,0.7,0.5509,
TCGA-64-1681-01A,0.003,0.002,0.015,0.0,0.001,0.0,0.601,0.07,0.081,0.098,0.027,0.097,0.002,0.0,0.0,0.0,LUAD,0.7257,0.27,0.709,0.375,0.6654,
TCGA-05-4410-01A,0.058,0.015,0.015,0.038,0.015,0.001,0.57,0.007,0.051,0.054,0.013,0.161,0.002,0.0,0.001,0.0,LUAD,0.6949,0.24,0.5118,0.675,0.5286,
TCGA-55-8620-01A,0.033,0.018,0.037,0.007,0.019,0.0,0.718,0.019,0.018,0.03,0.018,0.079,0.001,0.001,0.0,0.0,LUAD,0.8691,,0.7184,0.8,0.7038,
TCGA-64-5774-01A,0.042,0.001,0.018,0.008,0.003,0.001,0.779,0.0,0.032,0.069,0.026,0.015,0.001,0.0,0.005,0.0,LUAD,0.9108,0.76,0.6612,0.8,0.7704,
TCGA-44-6148-01A,0.037,0.011,0.01,0.001,0.013,0.0,0.534,0.038,0.093,0.144,0.015,0.083,0.019,0.0,0.0,0.0,LUAD,0.716,0.6,0.7685,0.8,0.7473,
TCGA-MN-A4N1-01A,0.005,0.0,0.01,0.002,0.003,0.0,0.834,0.008,0.028,0.06,0.003,0.045,0.001,0.0,0.0,0.0,LUAD,0.8915,,0.8107,0.65,0.8378,
TCGA-05-5429-01A,0.009,0.0,0.004,0.001,0.001,0.0,0.822,0.006,0.028,0.087,0.014,0.024,0.003,0.0,0.0,0.0,LUAD,0.8666,0.72,0.76,0.8,0.7911,
TCGA-91-6847-01A,0.0,0.0,0.001,0.021,0.0,0.0,0.949,0.003,0.016,0.008,0.0,0.0,0.0,0.0,0.001,0.0,LUAD,0.9806,0.85,0.8592,0.675,0.9191,
TCGA-55-8511-01A,0.037,0.02,0.022,0.013,0.02,0.001,0.546,0.02,0.056,0.134,0.013,0.105,0.001,0.0,0.011,0.0,LUAD,0.6323,,0.5176,0.75,0.4895,
