,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-4Z-AA81-01A,0.003,0.0,0.012,0.064,0.0,0.0,0.871,0.006,0.006,0.0,0.0,0.034,0.001,0.0,0.001,0.0,BLCA,0.9037,,0.5554,0.75,0.7466,
TCGA-E7-A97Q-01A,0.015,0.0,0.002,0.009,0.0,0.0,0.705,0.015,0.036,0.137,0.024,0.054,0.001,0.0,0.001,0.0,BLCA,0.8563,,0.6733,0.85,0.6508,
TCGA-ZF-AA53-01A,0.004,0.0,0.016,0.009,0.0,0.0,0.573,0.015,0.037,0.12,0.016,0.194,0.0,0.0,0.013,0.001,BLCA,0.6573,,0.4056,0.6,0.5451,
TCGA-CU-A0YR-01A,0.013,0.0,0.006,0.011,0.0,0.0,0.727,0.001,0.029,0.035,0.009,0.168,0.0,0.0,0.001,0.0,BLCA,0.7562,0.47,0.6169,0.79,0.644,
TCGA-4Z-AA7Y-01A,0.0,0.0,0.0,0.001,0.0,0.0,0.915,0.001,0.059,0.0,0.019,0.005,0.0,0.0,0.0,0.0,BLCA,0.9794,,0.6529,0.8,0.7466,
TCGA-XF-AAMJ-01A,0.014,0.0,0.011,0.003,0.0,0.0,0.353,0.002,0.056,0.474,0.017,0.064,0.005,0.0,0.002,0.0,BLCA,0.7174,,,0.9,0.7537,
TCGA-G2-AA3B-01A,0.009,0.0,0.004,0.015,0.0,0.0,0.935,0.0,0.008,0.0,0.004,0.023,0.0,0.0,0.001,0.0,BLCA,0.9576,,0.6823,0.8,0.9521,
TCGA-MV-A51V-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.903,0.0,0.044,0.002,0.032,0.017,0.0,0.0,0.0,0.0,BLCA,0.9674,,0.9477,0.9,0.9662,
TCGA-E7-A6MD-01A,0.014,0.025,0.026,0.003,0.005,0.001,0.658,0.021,0.058,0.101,0.033,0.048,0.004,0.0,0.001,0.001,BLCA,0.789,,0.5525,0.7,0.724,
TCGA-K4-A3WU-01B,0.012,0.045,0.026,0.0,0.018,0.001,0.553,0.036,0.067,0.12,0.054,0.049,0.011,0.001,0.006,0.0,BLCA,0.7344,0.6,0.618,0.75,0.6908,
TCGA-FD-A3SL-01A,0.002,0.0,0.005,0.003,0.0,0.0,0.478,0.011,0.085,0.248,0.08,0.084,0.002,0.0,0.0,0.0,BLCA,0.7073,,0.7898,0.75,0.6131,
TCGA-BT-A42E-01A,0.001,0.0,0.008,0.023,0.0,0.0,0.798,0.034,0.039,0.0,0.021,0.073,0.0,0.0,0.001,0.001,BLCA,0.7746,,0.6169,0.7,0.7044,
