,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-18-3421-01A,0.0,0.0,0.007,0.008,0.009,0.0,0.004,0.009,0.01,0.004,0.029,0.002,0.0,0.015,0.01,0.892,0.892,LUSC,0.8139,0.47,,0.8,0.6573,
TCGA-22-4599-01A,0.041,0.002,0.026,0.014,0.027,0.0,0.008,0.013,0.065,0.003,0.172,0.001,0.0,0.0,0.0,0.626,0.626,LUSC,0.6676,0.47,0.6843,0.625,0.6362,
TCGA-63-A5MS-01A,0.053,0.001,0.025,0.0,0.022,0.0,0.024,0.057,0.165,0.003,0.113,0.002,0.0,0.003,0.0,0.532,0.532,LUSC,0.658,,0.596,0.7,0.5599,
TCGA-56-8201-01A,0.009,0.001,0.034,0.025,0.024,0.0,0.013,0.063,0.2,0.002,0.18,0.0,0.0,0.011,0.001,0.436,0.436,LUSC,0.4705,0.22,0.4264,0.6,0.3661,
TCGA-85-8052-01A,0.009,0.006,0.012,0.0,0.005,0.0,0.02,0.036,0.056,0.007,0.072,0.005,0.0,0.004,0.0,0.767,0.767,LUSC,0.8806,0.36,0.67,0.7,0.6469,
TCGA-22-5492-01A,0.03,0.003,0.031,0.003,0.017,0.0,0.024,0.054,0.07,0.022,0.085,0.003,0.0,0.014,0.001,0.643,0.643,LUSC,0.6953,0.56,0.602,0.8,0.5967,
TCGA-O2-A52N-01A,0.002,0.003,0.006,0.019,0.009,0.0,0.022,0.043,0.067,0.002,0.057,0.0,0.0,0.006,0.0,0.764,0.764,LUSC,0.8422,,0.7533,0.75,0.7706,
TCGA-34-5234-01A,0.035,0.001,0.022,0.001,0.012,0.0,0.025,0.041,0.163,0.014,0.092,0.007,0.002,0.006,0.049,0.53,0.53,LUSC,0.4465,0.19,0.4456,0.55,0.3632,
TCGA-98-A53I-01A,0.026,0.058,0.03,0.004,0.016,0.001,0.024,0.057,0.061,0.022,0.098,0.01,0.0,0.006,0.0,0.588,0.588,LUSC,0.7425,,0.6339,0.8,0.6609,
TCGA-66-2785-01A,0.059,0.001,0.04,0.023,0.025,0.0,0.015,0.017,0.041,0.007,0.135,0.002,0.0,0.018,0.001,0.615,0.615,LUSC,0.6508,0.4,,0.7,0.5422,
