,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-5P-A9JY-01A,6.762,3.762,11.15,3.309,2.984,16.35,111.668,15.212,2.187,83.859,33.639,3.09,916.373,7511,KIRP,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.001,0.0,0.926,0.002,0.006,0.0,0.001,0.063,0.0,0.001,0.0,0.0,0.001,0.001,0.001
TCGA-P4-A5E6-01A,5.149,12.366,18.706,3.875,4.564,20.809,189.693,21.357,1.0,75.243,34.39,2.022,615.498,7512,KIRP,simu_bulk_2ds_ref,0.005,0.0,0.004,0.001,0.0,0.0,0.867,0.0,0.01,0.003,0.011,0.099,0.0,0.001,0.0,0.0,0.005,0.001,0.013999999999999999
TCGA-2Z-A9JO-01A,2.594,7.212,10.665,1.263,3.879,50.355,161.142,3.472,1.0,261.583,8.178,1.0,55.348,7513,KIRP,simu_bulk_2ds_ref,0.011,0.0,0.0,0.0,0.0,0.0,0.762,0.0,0.015,0.0,0.086,0.125,0.0,0.0,0.0,0.0,0.011,0.0,0.086
TCGA-5P-A9K4-01A,4.772,5.19,12.191,1.0,2.623,28.953,131.834,24.61,1.0,62.134,5.089,2.752,1598.279,7514,KIRP,simu_bulk_2ds_ref,0.003,0.0,0.002,0.0,0.0,0.0,0.917,0.0,0.008,0.0,0.001,0.067,0.0,0.0,0.0,0.0,0.003,0.0,0.001
TCGA-UN-AAZ9-01A,4.144,28.753,14.234,3.878,2.904,44.172,36.789,55.251,3.278,518.786,32.656,2.371,502.594,7515,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.002,0.0,0.731,0.003,0.054,0.0,0.181,0.018,0.004,0.003,0.001,0.0,0.0,0.002,0.181
TCGA-SX-A71W-01A,4.338,14.125,12.72,2.478,3.819,26.713,131.057,91.896,1.469,86.273,23.407,3.375,1228.889,7516,KIRP,simu_bulk_2ds_ref,0.002,0.0,0.0,0.0,0.001,0.0,0.796,0.0,0.029,0.002,0.104,0.061,0.003,0.001,0.0,0.0,0.002,0.001,0.106
TCGA-MH-A855-01A,6.717,16.086,45.101,19.258,14.953,56.895,388.389,8.022,1.538,83.749,47.316,3.33,287.086,7517,KIRP,simu_bulk_2ds_ref,0.005,0.0,0.001,0.001,0.006,0.0,0.709,0.008,0.026,0.002,0.078,0.162,0.0,0.0,0.001,0.0,0.005,0.007,0.08
TCGA-B1-A47M-01A,5.418,12.029,13.285,2.522,4.989,34.092,155.241,18.489,4.714,77.96,28.365,44.395,911.566,7518,KIRP,simu_bulk_2ds_ref,0.002,0.0,0.001,0.0,0.003,0.0,0.903,0.0,0.019,0.006,0.006,0.054,0.0,0.0,0.006,0.0,0.002,0.003,0.012
TCGA-DZ-6133-01A,3.971,9.949,8.861,1.611,4.741,31.241,78.179,8.74,1.0,255.85,4.459,1.499,1289.651,7519,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.0,0.001,0.0,0.0,0.902,0.0,0.028,0.0,0.022,0.046,0.0,0.0,0.001,0.0,0.0,0.001,0.022
TCGA-DW-7839-01A,1.999,104.183,2.375,1.205,1.0,12.317,3.224,8.945,1.0,262.631,1.708,1.0,1097.825,7520,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.004,0.0,0.0,0.0,0.933,0.0,0.03,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032
TCGA-5P-A9KF-01A,4.446,13.517,20.401,2.289,3.647,11.062,210.742,16.5,1.488,184.769,8.815,3.976,688.223,7521,KIRP,simu_bulk_2ds_ref,0.003,0.0,0.0,0.0,0.0,0.0,0.871,0.0,0.01,0.001,0.004,0.111,0.0,0.0,0.0,0.0,0.003,0.0,0.005
TCGA-SX-A7SP-01A,2.753,13.276,37.874,3.719,16.206,26.401,437.336,23.184,1.685,44.254,25.586,5.063,275.578,7522,KIRP,simu_bulk_2ds_ref,0.005,0.0,0.0,0.0,0.0,0.0,0.795,0.0,0.009,0.0,0.018,0.171,0.002,0.0,0.0,0.0,0.005,0.0,0.018
TCGA-G7-6795-01A,2.229,6.204,9.455,4.08,1.599,18.668,65.045,9.062,1.188,103.552,40.129,8.412,392.98,7523,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.002,0.0,0.916,0.0,0.01,0.0,0.001,0.067,0.0,0.001,0.003,0.0,0.0,0.002,0.001
