,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-MI-A75I-01A,9.973,5.37,7.345,2.26,1.831,54.842,93.056,1.252,1.034,59.946,13.033,1.527,262.114,2127,LIHC,simu_bulk_2ds_ref,0.002,0.0,0.0,0.0,0.0,0.0,0.867,0.0,0.028,0.0,0.008,0.095,0.0,0.0,0.0,0.0,0.002,0.0,0.008
TCGA-G3-A3CI-01A,7.384,12.431,18.203,2.19,6.622,58.602,144.568,9.451,2.696,33.675,24.116,2.103,150.65,2128,LIHC,simu_bulk_2ds_ref,0.056,0.0,0.007,0.0,0.0,0.0,0.003,0.035,0.155,0.053,0.093,0.572,0.004,0.01,0.011,0.001,0.056,0.0,0.146
TCGA-CC-A5UC-01A,48.28,34.718,15.789,1.547,4.297,73.65,139.741,1.0,1.388,53.585,12.052,12.198,323.627,2129,LIHC,simu_bulk_2ds_ref,0.001,0.0,0.002,0.0,0.0,0.0,0.738,0.0,0.07,0.01,0.059,0.119,0.0,0.0,0.0,0.0,0.001,0.0,0.06899999999999999
TCGA-FV-A496-01A,9.709,4.395,2.009,1.0,1.042,29.336,14.351,1.0,1.0,15.373,1.823,1.0,233.473,2130,LIHC,simu_bulk_2ds_ref,0.021,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.072,0.0,0.04,0.006,0.001,0.0,0.0,0.0,0.021,0.0,0.04
TCGA-DD-AACK-01A,7.978,20.192,10.329,1.13,5.249,72.484,102.476,1.0,1.0,21.951,5.472,1.0,501.151,2131,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.831,0.0,0.063,0.0,0.057,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.057
TCGA-XR-A8TE-01A,4.868,29.661,20.239,1.0,7.433,92.379,133.645,6.312,1.103,34.724,7.656,1.0,314.63,2132,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.002,0.0,0.0,0.0,0.788,0.0,0.066,0.011,0.046,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.056999999999999995
TCGA-DD-A3A4-01A,6.856,2.447,19.73,1.0,6.016,67.344,24.482,1.0,1.0,25.124,3.565,1.0,260.595,2133,LIHC,simu_bulk_2ds_ref,0.003,0.0,0.001,0.0,0.0,0.0,0.285,0.0,0.294,0.0,0.414,0.001,0.001,0.0,0.0,0.0,0.003,0.0,0.414
TCGA-RC-A6M4-01A,5.883,1.905,2.612,1.0,1.548,27.831,42.296,1.0,1.0,27.624,2.635,1.0,295.655,2134,LIHC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.0,0.0,0.734,0.0,0.037,0.0,0.086,0.143,0.0,0.0,0.0,0.0,0.001,0.0,0.086
TCGA-ED-A7PY-01A,4.059,4.663,3.785,1.106,4.007,43.158,36.901,1.0,1.0,22.495,8.449,1.0,480.878,2135,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.943,0.0,0.029,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027
TCGA-DD-AADL-01A,6.616,4.556,7.017,1.0,3.094,34.763,26.908,1.0,1.0,22.058,15.416,1.059,167.166,2136,LIHC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.0,0.0,0.806,0.0,0.105,0.0,0.054,0.033,0.001,0.0,0.0,0.0,0.001,0.0,0.054
TCGA-UB-A7MC-01A,4.668,4.359,7.052,1.0,6.188,70.115,72.083,1.0,1.0,16.297,4.941,1.0,130.054,2137,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.001,0.0,0.609,0.0,0.091,0.0,0.139,0.159,0.0,0.0,0.0,0.0,0.0,0.001,0.139
TCGA-ED-A82E-01A,7.446,78.217,21.258,1.048,3.749,99.853,93.767,1.0,1.0,149.172,4.871,2.002,2200.289,2138,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.0,0.0,0.901,0.0,0.049,0.009,0.001,0.037,0.001,0.001,0.0,0.0,0.0,0.0,0.009999999999999998
TCGA-CC-A9FS-01A,8.025,3.313,9.426,1.419,3.751,45.222,110.122,1.0,1.0,31.824,11.461,1.0,335.685,2139,LIHC,simu_bulk_2ds_ref,0.002,0.0,0.0,0.002,0.0,0.0,0.718,0.0,0.076,0.0,0.033,0.169,0.0,0.0,0.0,0.0,0.002,0.002,0.033
TCGA-T1-A6J8-01A,7.505,26.321,8.585,1.0,5.585,60.787,93.109,1.0,1.0,28.831,7.84,1.0,487.908,2140,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.002,0.0,0.0,0.0,0.905,0.0,0.039,0.006,0.009,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.015
TCGA-DD-AAW0-01A,11.304,66.523,36.905,4.504,14.638,61.468,242.559,1.0,3.808,51.102,11.543,3.182,399.505,2141,LIHC,simu_bulk_2ds_ref,0.017,0.0,0.025,0.0,0.001,0.0,0.49,0.017,0.093,0.039,0.003,0.314,0.0,0.0,0.0,0.0,0.017,0.001,0.042
TCGA-BC-A216-01A,15.954,3.631,20.18,31.701,4.591,13.498,103.425,1.0,1.12,31.117,119.191,1.867,205.303,2142,LIHC,simu_bulk_2ds_ref,0.013,0.0,0.0,0.042,0.0,0.0,0.813,0.0,0.005,0.0,0.099,0.027,0.0,0.0,0.0,0.0,0.013,0.042,0.099
TCGA-DD-AACG-01A,9.426,1.0,9.715,1.469,4.015,18.873,162.895,1.0,1.0,21.753,16.979,1.0,391.792,2143,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0,0.012,0.0,0.007,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.007
TCGA-CC-A123-01A,8.591,3.884,8.159,1.0,2.762,41.0,111.456,1.0,1.0,34.024,8.881,1.0,422.945,2144,LIHC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.0,0.0,0.831,0.0,0.014,0.0,0.037,0.118,0.0,0.0,0.0,0.0,0.001,0.0,0.037
TCGA-DD-A1EE-01A,7.41,3.189,8.882,1.0,2.507,63.62,168.137,1.0,1.0,20.338,2.252,1.0,289.913,2145,LIHC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.0,0.0,0.593,0.0,0.071,0.0,0.074,0.262,0.0,0.0,0.0,0.0,0.001,0.0,0.074
TCGA-FV-A3I1-01A,10.711,51.438,32.942,1.963,11.544,60.871,229.564,1.0,1.817,44.092,12.204,1.496,595.902,2146,LIHC,simu_bulk_2ds_ref,0.008,0.0,0.017,0.0,0.0,0.0,0.735,0.0,0.072,0.019,0.01,0.138,0.0,0.0,0.0,0.0,0.008,0.0,0.028999999999999998
TCGA-G3-A5SJ-01A,22.239,14.84,28.299,10.278,16.62,52.734,216.113,4.416,2.117,18.973,39.103,7.468,625.957,2147,LIHC,simu_bulk_2ds_ref,0.044,0.0,0.016,0.0,0.001,0.0,0.865,0.018,0.024,0.004,0.002,0.024,0.0,0.0,0.001,0.0,0.044,0.001,0.006
TCGA-BC-A3KG-01A,5.044,6.2,17.335,1.893,4.133,52.463,51.47,1.0,1.0,26.139,8.949,2.365,126.09,2148,LIHC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.025,0.0,0.0,0.431,0.0,0.153,0.0,0.19,0.199,0.0,0.0,0.0,0.0,0.001,0.025,0.19
TCGA-ZS-A9CF-01A,7.588,4.93,98.689,1.931,8.562,72.797,92.075,2.4,1.295,31.204,17.721,1.0,211.605,2149,LIHC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.018,0.0,0.0,0.011,0.0,0.283,0.0,0.34,0.345,0.0,0.0,0.0,0.0,0.001,0.018,0.34
TCGA-RC-A6M6-01A,14.218,8.008,11.948,1.937,2.295,47.092,165.726,1.0,1.312,14.108,8.652,1.0,1312.717,2150,LIHC,simu_bulk_2ds_ref,0.001,0.0,0.002,0.0,0.0,0.0,0.91,0.0,0.013,0.001,0.032,0.04,0.0,0.0,0.0,0.0,0.001,0.0,0.033
TCGA-DD-AACI-01A,37.775,20.157,22.606,21.453,5.051,55.816,981.841,1.0,1.467,151.134,207.965,3.093,1114.629,2151,LIHC,simu_bulk_2ds_ref,0.02,0.0,0.011,0.001,0.003,0.0,0.765,0.003,0.016,0.001,0.042,0.137,0.0,0.0,0.001,0.0,0.02,0.004,0.043000000000000003
TCGA-EP-A3JL-01A,5.077,23.352,20.579,4.198,6.319,70.088,397.836,2.008,2.851,53.738,38.513,1.0,227.864,2152,LIHC,simu_bulk_2ds_ref,0.003,0.0,0.008,0.0,0.0,0.0,0.71,0.0,0.028,0.005,0.038,0.208,0.0,0.0,0.0,0.0,0.003,0.0,0.043
TCGA-CC-A5UD-01A,7.443,70.765,9.097,1.725,1.713,85.66,161.129,1.0,1.091,233.051,21.313,1.0,1428.666,2153,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.013,0.0,0.0,0.0,0.727,0.0,0.068,0.001,0.051,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.052
TCGA-ES-A2HS-01A,5.466,11.682,5.014,1.0,1.726,82.838,109.011,1.17,1.0,41.523,7.366,1.0,401.47,2154,LIHC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.0,0.0,0.742,0.0,0.084,0.003,0.123,0.047,0.0,0.0,0.0,0.0,0.001,0.0,0.126
TCGA-BC-A10U-01A,4.952,8.879,10.147,1.0,2.236,14.47,115.117,3.278,1.0,20.813,8.283,1.0,392.109,2155,LIHC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.0,0.0,0.848,0.0,0.01,0.0,0.026,0.114,0.0,0.0,0.0,0.0,0.001,0.0,0.026
TCGA-DD-A119-01A,13.348,17.568,6.134,1.0,2.799,34.693,104.039,1.149,1.0,58.172,5.572,1.0,165.858,2156,LIHC,simu_bulk_2ds_ref,0.003,0.0,0.0,0.0,0.0,0.0,0.835,0.0,0.025,0.004,0.032,0.101,0.0,0.0,0.0,0.0,0.003,0.0,0.036000000000000004
TCGA-2Y-A9H1-01A,5.099,4.462,6.589,3.175,4.126,57.525,139.567,2.932,1.008,15.792,42.86,1.0,394.451,2157,LIHC,simu_bulk_2ds_ref,0.008,0.0,0.001,0.0,0.0,0.0,0.947,0.0,0.016,0.0,0.023,0.0,0.0,0.0,0.005,0.0,0.008,0.0,0.023
TCGA-G3-A5SK-01A,4.316,4.933,10.539,4.143,21.521,9.295,154.315,1.0,1.266,13.117,31.726,1.031,140.635,2158,LIHC,simu_bulk_2ds_ref,0.056,0.0,0.009,0.0,0.001,0.0,0.025,0.0,0.148,0.045,0.023,0.658,0.001,0.033,0.0,0.001,0.056,0.001,0.068
