,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-KK-A8IC-01A,0.001,0.0,0.009,0.0,0.0,0.0,0.692,0.015,0.074,0.122,0.065,0.021,0.001,0.0,0.0,0.0,PRAD,0.8735,,0.8704,0.6,0.8387,
TCGA-YL-A9WH-01A,0.0,0.0,0.004,0.001,0.0,0.0,0.903,0.006,0.014,0.046,0.012,0.014,0.0,0.0,0.0,0.0,PRAD,0.9499,,1.0,0.6,0.9425,
TCGA-ZG-A9L5-01A,0.006,0.0,0.004,0.0,0.003,0.0,0.888,0.003,0.013,0.039,0.032,0.01,0.001,0.0,0.0,0.0,PRAD,0.9499,,,0.8,0.8669,
TCGA-CH-5768-01A,0.001,0.0,0.004,0.001,0.0,0.0,0.921,0.005,0.009,0.025,0.019,0.014,0.0,0.0,0.0,0.0,PRAD,0.9636,,0.9927,0.55,0.9611,
TCGA-KC-A4BL-01A,0.009,0.003,0.007,0.0,0.007,0.0,0.729,0.016,0.078,0.08,0.051,0.016,0.003,0.001,0.0,0.0,PRAD,0.9027,,0.8879,0.6,0.8783,
TCGA-J4-A67K-01A,0.012,0.0,0.005,0.0,0.004,0.0,0.883,0.012,0.007,0.041,0.022,0.013,0.0,0.0,0.0,0.0,PRAD,0.9092,,0.9428,0.65,0.9274,
TCGA-G9-7525-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.818,0.003,0.014,0.097,0.049,0.014,0.0,0.0,0.0,0.0,PRAD,0.918,,0.9955,0.7,0.8991,
TCGA-G9-6371-01A,0.007,0.0,0.004,0.0,0.001,0.0,0.885,0.006,0.022,0.039,0.027,0.007,0.001,0.0,0.0,0.0,PRAD,0.967,,0.956,0.475,0.9656,
TCGA-HC-A76W-01A,0.01,0.0,0.003,0.0,0.002,0.0,0.734,0.011,0.046,0.123,0.05,0.019,0.001,0.0,0.0,0.0,PRAD,0.8852,,0.9695,0.7,0.8546,
TCGA-EJ-A65G-01A,0.01,0.0,0.003,0.0,0.0,0.0,0.902,0.003,0.012,0.031,0.034,0.003,0.001,0.0,0.0,0.0,PRAD,0.9719,,1.0,0.95,0.9723,
TCGA-ZG-A9LS-01A,0.011,0.013,0.019,0.0,0.014,0.007,0.518,0.029,0.081,0.197,0.074,0.033,0.001,0.0,0.001,0.0,PRAD,0.7383,,,0.65,0.7232,
TCGA-XJ-A9DK-01A,0.001,0.003,0.006,0.002,0.004,0.0,0.815,0.011,0.025,0.072,0.045,0.013,0.002,0.0,0.0,0.0,PRAD,0.9308,,0.908,0.6,0.9165,
TCGA-G9-6329-01A,0.009,0.0,0.006,0.0,0.002,0.0,0.769,0.016,0.038,0.077,0.073,0.008,0.002,0.0,0.0,0.0,PRAD,0.9018,,0.9439,0.39,0.8771,
TCGA-J9-A8CN-01A,0.005,0.0,0.002,0.0,0.001,0.0,0.901,0.003,0.031,0.017,0.036,0.003,0.0,0.0,0.0,0.0,PRAD,0.9413,,0.9831,0.9,0.9308,
