,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-B0-5697-01A,0.004,0.0,0.01,0.011,0.03,0.0,0.028,0.125,0.013,0.045,0.182,0.001,0.0,0.006,0.001,0.542,0.542,KIRC,0.5967,,0.5735,0.85,0.4982,
TCGA-BP-5175-01A,0.006,0.0,0.007,0.003,0.013,0.0,0.0,0.069,0.046,0.064,0.11,0.0,0.004,0.0,0.0,0.676,0.676,KIRC,0.681,0.34,0.6219,0.9,0.5839,
TCGA-BP-5191-01A,0.064,0.001,0.013,0.016,0.014,0.013,0.013,0.075,0.0,0.067,0.282,0.0,0.006,0.0,0.0,0.436,0.436,KIRC,0.531,0.35,0.526,0.9,0.4863,
TCGA-BP-4763-01A,0.006,0.0,0.014,0.0,0.006,0.0,0.005,0.245,0.084,0.156,0.086,0.0,0.008,0.003,0.001,0.385,0.385,KIRC,0.6826,0.41,,0.775,0.5656,
TCGA-BP-4803-01A,0.001,0.0,0.006,0.0,0.005,0.0,0.001,0.238,0.025,0.131,0.132,0.0,0.008,0.003,0.0,0.447,0.447,KIRC,0.6743,0.69,,0.925,0.6927,
TCGA-B0-5402-01A,0.016,0.0,0.008,0.003,0.0,0.0,0.001,0.297,0.021,0.137,0.097,0.002,0.013,0.006,0.0,0.399,0.399,KIRC,0.6705,,0.7445,0.85,0.7345,
TCGA-B0-4697-01A,0.222,0.024,0.023,0.05,0.063,0.0,0.036,0.108,0.075,0.149,0.129,0.0,0.003,0.007,0.001,0.11,0.11,KIRC,0.3971,,0.2952,0.8,0.2065,
TCGA-BP-4769-01A,0.004,0.0,0.004,0.0,0.0,0.002,0.004,0.208,0.141,0.313,0.033,0.002,0.002,0.008,0.001,0.278,0.278,KIRC,0.7871,,,0.8,0.7213,
TCGA-BP-4774-01A,0.01,0.0,0.0,0.015,0.006,0.001,0.007,0.338,0.0,0.238,0.079,0.0,0.004,0.007,0.0,0.293,0.293,KIRC,0.7187,0.52,,0.95,0.6422,
TCGA-B8-A54F-01A,0.002,0.001,0.003,0.006,0.0,0.002,0.013,0.203,0.124,0.12,0.141,0.006,0.003,0.01,0.0,0.365,0.365,KIRC,0.6305,,0.743,0.95,0.6207,
TCGA-CJ-4874-01A,0.006,0.0,0.005,0.013,0.024,0.0,0.007,0.284,0.001,0.112,0.151,0.0,0.005,0.001,0.0,0.391,0.391,KIRC,0.5977,0.47,,0.9,0.5364,
TCGA-BP-4991-01A,0.001,0.0,0.009,0.005,0.001,0.004,0.002,0.407,0.001,0.178,0.101,0.003,0.012,0.014,0.0,0.262,0.262,KIRC,0.6622,0.55,,0.85,0.6181,
TCGA-CZ-5469-01A,0.001,0.0,0.007,0.002,0.001,0.0,0.0,0.086,0.033,0.059,0.105,0.0,0.0,0.0,0.0,0.704,0.704,KIRC,0.7935,0.65,0.8693,0.825,0.7792,
TCGA-CZ-5464-01A,0.011,0.001,0.023,0.01,0.012,0.0,0.029,0.188,0.046,0.116,0.19,0.0,0.012,0.002,0.001,0.358,0.358,KIRC,0.5209,0.48,0.6552,0.8,0.6238,
TCGA-CJ-5680-01A,0.002,0.0,0.004,0.001,0.001,0.0,0.001,0.157,0.002,0.099,0.118,0.0,0.004,0.006,0.0,0.605,0.605,KIRC,0.7479,,0.8322,0.85,0.8136,
TCGA-CJ-4871-01A,0.007,0.0,0.01,0.0,0.004,0.0,0.001,0.192,0.093,0.138,0.106,0.0,0.011,0.003,0.0,0.435,0.435,KIRC,0.6519,0.59,,0.85,0.7223,
TCGA-G6-A8L6-01A,0.014,0.0,0.004,0.0,0.004,0.0,0.001,0.378,0.002,0.129,0.094,0.0,0.006,0.001,0.016,0.35,0.35,KIRC,0.6504,,0.7381,0.9,0.727,
TCGA-B0-4827-01A,0.04,0.0,0.019,0.002,0.02,0.0,0.001,0.152,0.082,0.124,0.191,0.0,0.002,0.004,0.0,0.364,0.364,KIRC,0.5276,0.4,0.5419,0.85,0.4965,
TCGA-B0-4848-01A,0.02,0.0,0.009,0.001,0.018,0.0,0.001,0.165,0.069,0.076,0.18,0.0,0.008,0.003,0.001,0.448,0.448,KIRC,0.5787,0.46,0.5787,0.875,0.5694,
TCGA-CZ-5985-01A,0.022,0.0,0.021,0.009,0.005,0.0,0.001,0.121,0.001,0.032,0.276,0.001,0.003,0.008,0.0,0.498,0.498,KIRC,0.6251,0.62,0.6713,0.825,0.6485,
TCGA-A3-3359-01A,0.003,0.0,0.002,0.038,0.019,0.0,0.01,0.269,0.001,0.175,0.146,0.0,0.001,0.016,0.0,0.32,0.32,KIRC,0.6182,0.59,,0.8,0.7223,
TCGA-CZ-5984-01A,0.032,0.0,0.018,0.011,0.001,0.003,0.033,0.124,0.005,0.064,0.129,0.0,0.006,0.004,0.0,0.569,0.569,KIRC,0.6704,0.52,0.667,0.8,0.6497,
TCGA-BP-5176-01A,0.01,0.0,0.002,0.001,0.004,0.0,0.001,0.302,0.001,0.125,0.106,0.0,0.009,0.0,0.0,0.439,0.439,KIRC,0.7092,0.42,0.7198,0.9,0.6156,
TCGA-BP-5170-01A,0.007,0.001,0.008,0.001,0.001,0.0,0.004,0.269,0.038,0.193,0.155,0.007,0.004,0.0,0.0,0.311,0.311,KIRC,0.5934,0.49,0.6567,0.8,0.6275,
TCGA-CJ-4638-01A,0.021,0.0,0.0,0.015,0.002,0.0,0.0,0.029,0.001,0.082,0.05,0.0,0.0,0.0,0.0,0.799,0.799,KIRC,0.8434,0.66,,0.8,0.7978,
TCGA-B0-4823-01A,0.006,0.0,0.008,0.006,0.021,0.0,0.003,0.235,0.053,0.161,0.161,0.001,0.0,0.001,0.0,0.343,0.343,KIRC,0.5794,0.56,0.7305,0.85,0.706,
TCGA-6D-AA2E-01A,0.04,0.0,0.002,0.0,0.006,0.0,0.001,0.09,0.04,0.076,0.125,0.0,0.003,0.001,0.0,0.617,0.617,KIRC,0.8182,,0.6819,0.7,0.7123,
TCGA-AK-3453-01A,0.021,0.0,0.001,0.051,0.04,0.0,0.056,0.131,0.0,0.051,0.157,0.0,0.0,0.002,0.0,0.488,0.488,KIRC,0.931,0.9,0.9659,0.85,0.9947,
TCGA-B0-5692-01A,0.023,0.0,0.009,0.05,0.052,0.0,0.014,0.166,0.001,0.049,0.159,0.0,0.001,0.002,0.0,0.474,0.474,KIRC,0.6145,,0.6536,0.85,0.6277,
TCGA-BP-5194-01A,0.007,0.0,0.004,0.002,0.002,0.003,0.004,0.289,0.0,0.227,0.135,0.001,0.007,0.005,0.0,0.314,0.314,KIRC,0.6527,0.63,0.7693,0.85,0.762,
TCGA-A3-3357-01A,0.001,0.0,0.005,0.001,0.024,0.0,0.0,0.137,0.0,0.021,0.229,0.0,0.0,0.006,0.0,0.575,0.575,KIRC,0.6837,0.6,0.7096,0.825,0.7126,
TCGA-BP-4797-01A,0.004,0.0,0.013,0.002,0.021,0.0,0.003,0.153,0.022,0.088,0.206,0.0,0.001,0.006,0.0,0.483,0.483,KIRC,0.5808,0.31,,0.95,0.4569,
