,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-IM-A3U3-01A,0.01,0.0,0.015,0.004,0.0,0.0,0.706,0.026,0.084,0.058,0.012,0.082,0.0,0.0,0.002,0.0,THCA,0.8606,,0.8984,0.85,0.8806,
TCGA-BJ-A191-01A,0.053,0.004,0.006,0.018,0.004,0.001,0.762,0.003,0.069,0.03,0.021,0.025,0.001,0.0,0.003,0.0,THCA,0.9371,,0.9858,0.95,0.9253,
TCGA-E8-A3X7-01A,0.0,0.0,0.009,0.004,0.0,0.0,0.743,0.012,0.071,0.106,0.003,0.05,0.0,0.0,0.002,0.0,THCA,0.848,,0.8866,1.0,0.836,
TCGA-FY-A3YR-01A,0.0,0.0,0.01,0.001,0.0,0.0,0.732,0.009,0.083,0.113,0.004,0.047,0.0,0.0,0.001,0.0,THCA,0.8417,,0.9268,0.7,0.8806,
TCGA-KS-A41I-01A,0.016,0.0,0.0,0.006,0.0,0.0,0.556,0.001,0.169,0.001,0.092,0.153,0.002,0.0,0.001,0.0,THCA,0.8044,,0.897,1.0,0.7466,
TCGA-EL-A3CS-01A,0.001,0.0,0.002,0.0,0.0,0.0,0.794,0.007,0.095,0.033,0.04,0.027,0.0,0.0,0.001,0.0,THCA,0.9248,,0.9775,0.92,0.9253,
TCGA-EL-A3GU-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.593,0.035,0.102,0.187,0.038,0.037,0.0,0.0,0.003,0.0,THCA,0.8205,,0.9309,0.85,0.7668,
TCGA-EM-A1CU-01A,0.0,0.001,0.006,0.003,0.0,0.0,0.738,0.003,0.135,0.047,0.0,0.064,0.0,0.0,0.002,0.0,THCA,0.9,,0.8564,0.9,0.8661,
TCGA-H2-A26U-01A,0.019,0.001,0.026,0.017,0.011,0.0,0.415,0.069,0.086,0.152,0.009,0.19,0.001,0.0,0.002,0.0,THCA,0.6048,,0.7056,0.85,0.6888,
TCGA-DJ-A2PT-01A,0.0,0.0,0.012,0.001,0.001,0.0,0.593,0.061,0.064,0.125,0.001,0.136,0.0,0.0,0.003,0.0,THCA,0.7058,,0.7047,1.0,0.6877,
TCGA-DJ-A2Q7-01A,0.021,0.0,0.01,0.006,0.0,0.0,0.608,0.01,0.171,0.052,0.037,0.082,0.001,0.0,0.002,0.0,THCA,0.8449,,0.9177,0.85,0.7999,
